open_time,open,high,low,close,volume,close_time,qav,num_trades,taker_base_vol,taker_quote_vol,ignore,datetime
1678158000000.0,22497.87,22505.38,22486.78,22486.95,411.83989,1678158179999.0,9264998.2145485,11097.0,170.50721,3836331.8465068,0.0,2023-03-07 00:00:00
1678158180000.0,22487.42,22557.91,22485.39,22529.12,1284.96243,1678158359999.0,28946861.2751957,30516.0,780.89203,17590256.0678516,0.0,2023-03-07 00:03:00
1678158360000.0,22529.13,22530.33,22492.82,22497.17,592.57493,1678158539999.0,13341102.2785036,16790.0,265.53447,5978299.1734435,0.0,2023-03-07 00:06:00
1678158540000.0,22497.17,22512.22,22492.21,22502.04,434.15883,1678158719999.0,9769823.3026649,13140.0,215.08305,4840053.6466205,0.0,2023-03-07 00:09:00
1678158720000.0,22502.04,22502.82,22481.65,22489.17,421.22435,1678158899999.0,9473387.5842817,13263.0,195.47,4396180.9883976,0.0,2023-03-07 00:12:00
1678158900000.0,22489.83,22494.21,22476.75,22482.48,317.56794,1678159079999.0,7139716.9461081,10513.0,159.45704,3585026.1988942,0.0,2023-03-07 00:15:00
1678159080000.0,22482.48,22498.58,22478.99,22485.22,283.70778,1678159259999.0,6379470.4030724,11393.0,141.20173,3175102.2487376,0.0,2023-03-07 00:18:00
1678159260000.0,22485.79,22489.43,22471.18,22476.15,293.27146,1678159439999.0,6592608.9771477,10008.0,127.46602,2865469.0134738,0.0,2023-03-07 00:21:00
1678159440000.0,22476.62,22478.95,22467.33,22469.58,312.97027,1678159619999.0,7033324.7658672,9288.0,130.83205,2940214.7172729,0.0,2023-03-07 00:24:00
1678159620000.0,22468.98,22473.5,22457.4,22465.73,373.34073,1678159799999.0,8387507.5465894,11147.0,184.65176,4148458.3477405,0.0,2023-03-07 00:27:00
1678159800000.0,22466.21,22477.07,22464.66,22471.93,270.43501,1678159979999.0,6077280.3215336,8826.0,143.55112,3225912.35492,0.0,2023-03-07 00:30:00
1678159980000.0,22471.51,22476.13,22463.89,22466.03,202.47042,1678160159999.0,4549667.6291821,7817.0,91.64479,2059372.8301778,0.0,2023-03-07 00:33:00
1678160160000.0,22465.64,22468.2,22445.22,22451.14,404.72085,1678160339999.0,9088926.1313398,12349.0,163.0748,3662191.4671126,0.0,2023-03-07 00:36:00
1678160340000.0,22451.14,22465.27,22447.0,22459.38,244.86294,1678160519999.0,5499055.7258203,9073.0,134.79489,3027186.1722509,0.0,2023-03-07 00:39:00
1678160520000.0,22459.38,22461.61,22447.76,22456.15,224.67877,1678160699999.0,5045212.1550951,9676.0,109.17783,2451670.4625226,0.0,2023-03-07 00:42:00
1678160700000.0,22456.15,22465.86,22453.0,22460.37,222.55597,1678160879999.0,4998675.6847494,8710.0,119.24445,2678303.2417759,0.0,2023-03-07 00:45:00
1678160880000.0,22459.7,22462.39,22454.15,22457.43,238.0301,1678161059999.0,5345826.1338074,8263.0,119.86774,2692089.9394862,0.0,2023-03-07 00:48:00
1678161060000.0,22457.99,22466.0,22454.75,22463.13,204.85097,1678161239999.0,4600912.5289307,8053.0,106.37859,2389292.8626481,0.0,2023-03-07 00:51:00
1678161240000.0,22463.5,22466.59,22458.01,22463.52,177.09019,1678161419999.0,3977830.1743735,7324.0,75.74165,1701324.0695315,0.0,2023-03-07 00:54:00
1678161420000.0,22463.63,22465.04,22452.2,22460.54,297.25932,1678161599999.0,6675804.071984,10028.0,129.78784,2914830.1265399,0.0,2023-03-07 00:57:00
1678161600000.0,22460.99,22469.88,22454.08,22457.0,433.65114,1678161779999.0,9741385.0096182,11300.0,248.74079,5587784.4320975,0.0,2023-03-07 01:00:00
1678161780000.0,22457.0,22461.13,22454.08,22457.54,210.63547,1678161959999.0,4730345.4386754,7073.0,97.97134,2200203.1836431,0.0,2023-03-07 01:03:00
1678161960000.0,22457.54,22465.99,22455.42,22460.2,217.46686,1678162139999.0,4884363.4781263,7412.0,123.71541,2778688.2489361,0.0,2023-03-07 01:06:00
1678162140000.0,22460.48,22468.42,22457.99,22467.38,206.56843,1678162319999.0,4640106.6086344,7030.0,117.84588,2647172.3744735,0.0,2023-03-07 01:09:00
1678162320000.0,22468.19,22472.5,22464.62,22470.59,233.39589,1678162499999.0,5244222.4441394,7466.0,121.94322,2739979.4008455,0.0,2023-03-07 01:12:00
1678162500000.0,22470.58,22470.7,22462.7,22466.33,159.82615,1678162679999.0,3590778.077892,6222.0,75.20734,1689684.6387043,0.0,2023-03-07 01:15:00
1678162680000.0,22466.33,22468.79,22462.0,22465.2,175.68261,1678162859999.0,3946718.4328702,5952.0,94.00676,2111892.393226,0.0,2023-03-07 01:18:00
1678162860000.0,22465.76,22472.5,22460.71,22467.16,184.80296,1678163039999.0,4151942.7889167,6533.0,101.57255,2282041.2115312,0.0,2023-03-07 01:21:00
1678163040000.0,22467.18,22469.89,22465.34,22467.2,142.43339,1678163219999.0,3200130.3532582,5944.0,66.48668,1493807.1337523,0.0,2023-03-07 01:24:00
1678163220000.0,22467.42,22470.62,22462.99,22466.55,163.73474,1678163399999.0,3678576.4027833,6482.0,82.13297,1845287.1460234,0.0,2023-03-07 01:27:00
1678163400000.0,22466.55,22469.03,22460.07,22460.77,240.91616,1678163579999.0,5411894.593798,7341.0,123.3734,2771439.3363608,0.0,2023-03-07 01:30:00
1678163580000.0,22460.46,22461.77,22453.98,22459.07,243.97386,1678163759999.0,5479106.9364572,8015.0,115.60953,2596359.1024966,0.0,2023-03-07 01:33:00
1678163760000.0,22458.86,22465.23,22458.73,22462.67,185.64559,1678163939999.0,4169996.8286117,6270.0,106.41932,2390397.8630392,0.0,2023-03-07 01:36:00
1678163940000.0,22462.4,22465.31,22457.75,22463.09,140.85349,1678164119999.0,3163749.6048656,5780.0,73.99791,1662091.190383,0.0,2023-03-07 01:39:00
1678164120000.0,22462.72,22465.59,22458.74,22463.11,154.62538,1678164299999.0,3473244.6013857,5904.0,75.97206,1706526.4912419,0.0,2023-03-07 01:42:00
1678164300000.0,22462.65,22471.4,22461.47,22464.42,230.94959,1678164479999.0,5188262.4350744,6377.0,117.61783,2642298.4553329,0.0,2023-03-07 01:45:00
1678164480000.0,22464.21,22469.5,22461.0,22466.49,145.1187,1678164659999.0,3259976.0980104,6343.0,76.35716,1715326.0977494,0.0,2023-03-07 01:48:00
1678164660000.0,22466.25,22466.88,22462.11,22463.62,126.81489,1678164839999.0,2848710.9966315,5185.0,57.02586,1281013.0005481,0.0,2023-03-07 01:51:00
1678164840000.0,22463.22,22473.2,22460.27,22471.01,188.64874,1678165019999.0,4238104.8707696,5952.0,101.49483,2280197.427925,0.0,2023-03-07 01:54:00
1678165020000.0,22470.77,22479.8,22470.61,22474.36,246.51948,1678165199999.0,5540526.549832,8231.0,133.89592,3009343.1411515,0.0,2023-03-07 01:57:00
1678165200000.0,22474.36,22478.48,22470.54,22473.43,223.27849,1678165379999.0,5017935.3634726,7607.0,97.93454,2201024.9177536,0.0,2023-03-07 02:00:00
1678165380000.0,22473.43,22479.85,22471.05,22472.37,218.68852,1678165559999.0,4915053.1642965,7553.0,104.7954,2355347.3285333,0.0,2023-03-07 02:03:00
1678165560000.0,22472.37,22476.38,22471.23,22474.39,145.70949,1678165739999.0,3274627.1092272,5314.0,79.12228,1778185.7638515,0.0,2023-03-07 02:06:00
1678165740000.0,22473.86,22475.01,22470.04,22474.15,162.39286,1678165919999.0,3649421.3306678,5979.0,75.88254,1705322.7728652,0.0,2023-03-07 02:09:00
1678165920000.0,22474.41,22474.99,22470.03,22472.57,210.90891,1678166099999.0,4739575.5543415,6860.0,95.04377,2135867.0910568,0.0,2023-03-07 02:12:00
1678166100000.0,22472.57,22476.84,22467.62,22468.01,310.92233,1678166279999.0,6987017.0144152,9121.0,142.20387,3195669.7887647,0.0,2023-03-07 02:15:00
1678166280000.0,22468.01,22470.0,22461.44,22466.3,305.32029,1678166459999.0,6859127.518541,8817.0,137.53717,3089837.9683788,0.0,2023-03-07 02:18:00
1678166460000.0,22466.3,22478.15,22463.18,22463.9,275.23783,1678166639999.0,6184639.6482925,8375.0,151.98204,3415102.2660033,0.0,2023-03-07 02:21:00
1678166640000.0,22464.17,22467.23,22463.74,22465.62,166.42696,1678166819999.0,3738851.0348706,6622.0,82.05144,1843336.0484391,0.0,2023-03-07 02:24:00
1678166820000.0,22465.62,22466.7,22463.0,22464.78,120.07048,1678166999999.0,2697376.7500305,5537.0,67.56617,1517885.4029724,0.0,2023-03-07 02:27:00
1678167000000.0,22465.06,22466.12,22459.89,22463.16,220.91048,1678167179999.0,4962232.9653679,8137.0,101.98502,2290868.4817132,0.0,2023-03-07 02:30:00
1678167180000.0,22463.16,22466.91,22460.45,22463.8,200.14176,1678167359999.0,4495910.330968,7358.0,96.59438,2169875.2131977,0.0,2023-03-07 02:33:00
1678167360000.0,22464.08,22473.87,22460.05,22461.43,321.93272,1678167539999.0,7232629.7108973,9995.0,158.87819,3569455.6327385,0.0,2023-03-07 02:36:00
1678167540000.0,22462.06,22468.16,22460.06,22467.81,179.79178,1678167719999.0,4038908.7914381,7242.0,99.99854,2246423.4920143,0.0,2023-03-07 02:39:00
1678167720000.0,22467.54,22469.74,22464.0,22464.15,166.70838,1678167899999.0,3745383.9438212,7193.0,83.61361,1878537.2135757,0.0,2023-03-07 02:42:00
1678167900000.0,22464.16,22466.53,22447.54,22454.01,449.77957,1678168079999.0,10100954.2271443,11675.0,181.14116,4068057.1312274,0.0,2023-03-07 02:45:00
1678168080000.0,22454.01,22458.39,22443.73,22456.07,397.33569,1678168259999.0,8920793.6065312,12419.0,211.79044,4755114.0044263,0.0,2023-03-07 02:48:00
1678168260000.0,22456.07,22461.97,22453.15,22460.6,219.20222,1678168439999.0,4922789.2362726,8072.0,120.72785,2711308.6467656,0.0,2023-03-07 02:51:00
1678168440000.0,22460.6,22464.24,22458.95,22463.97,181.46929,1678168619999.0,4076171.4266672,6584.0,94.81707,2129806.1702121,0.0,2023-03-07 02:54:00
1678168620000.0,22463.66,22464.56,22455.26,22460.67,182.89739,1678168799999.0,4107618.9124582,7243.0,85.27752,1915235.1851467,0.0,2023-03-07 02:57:00
1678168800000.0,22460.09,22461.31,22453.51,22454.06,195.59436,1678168979999.0,4392439.6493891,8204.0,88.49622,1987370.6790482,0.0,2023-03-07 03:00:00
1678168980000.0,22454.06,22460.21,22453.11,22455.48,226.25745,1678169159999.0,5080867.3285837,8781.0,102.17003,2294379.6700129,0.0,2023-03-07 03:03:00
1678169160000.0,22455.48,22458.94,22450.0,22451.91,245.97844,1678169339999.0,5523361.5554845,7955.0,117.38639,2635902.2137732,0.0,2023-03-07 03:06:00
1678169340000.0,22452.48,22458.0,22446.43,22450.71,346.42195,1678169519999.0,7777692.7655477,10868.0,175.7164,3945173.1193302,0.0,2023-03-07 03:09:00
1678169520000.0,22451.57,22454.0,22437.18,22443.18,401.77465,1678169699999.0,9018147.8941903,13187.0,187.99175,4219589.4023528,0.0,2023-03-07 03:12:00
1678169700000.0,22443.18,22450.26,22439.2,22443.89,367.1054,1678169879999.0,8239757.1845717,10708.0,199.58442,4479749.6224558,0.0,2023-03-07 03:15:00
1678169880000.0,22443.89,22447.71,22428.12,22436.87,448.03264,1678170059999.0,10052614.8258194,13279.0,207.92224,4665185.184415,0.0,2023-03-07 03:18:00
1678170060000.0,22436.88,22442.43,22432.0,22433.35,273.34048,1678170239999.0,6132781.8265471,9520.0,127.65619,2864202.2823026,0.0,2023-03-07 03:21:00
1678170240000.0,22433.01,22439.92,22430.21,22434.01,319.00316,1678170419999.0,7157016.9346125,10479.0,163.12586,3659890.1567947,0.0,2023-03-07 03:24:00
